iter	Passed	Remaining
404	7784	11437
405	7801	11414
406	7819	11393
407	7840	11376
408	7858	11355
409	7875	11332
410	7894	11313
411	7912	11293
412	7930	11271
413	7947	11250
414	7965	11229
415	7984	11208
416	8002	11187
417	8019	11165
418	8037	11144
419	8054	11123
420	8073	11103
421	8090	11080
422	8109	11062
423	8128	11042
424	8147	11023
425	8167	11004
426	8185	10984
427	8203	10962
428	8221	10943
429	8240	10923
430	8256	10900
431	8273	10877
432	8293	10860
433	8312	10840
434	8331	10821
435	8350	10801
436	8368	10780
437	8386	10760
438	8405	10741
439	8422	10719
440	8441	10700
441	8460	10680
442	8480	10663
443	8500	10644
444	8519	10624
445	8537	10604
446	8554	10583
447	8575	10566
448	8595	10548
449	8614	10528
450	8635	10512
451	8663	10503
452	8686	10489
453	8704	10468
454	8721	10446
455	8737	10423
456	8756	10404
457	8774	10383
458	8792	10363
459	8811	10343
460	8830	10324
461	8849	10304
462	8868	10285
463	8889	10269
464	8914	10256
465	8932	10236
466	8953	10218
467	8970	10196
468	8987	10176
469	9006	10156
470	9023	10134
471	9040	10112
472	9057	10091
473	9074	10069
474	9092	10049
475	9108	10027
476	9125	10005
477	9143	9984
478	9161	9964
479	9179	9944
480	9196	9922
481	9213	9901
482	9231	9881
483	9249	9861
484	9267	9840
485	9284	9819
486	9303	9799
487	9319	9778
488	9337	9757
489	9354	9736
490	9371	9715
491	9390	9695
492	9407	9675
493	9426	9655
494	9443	9633
495	9461	9614
496	9479	9593
497	9497	9573
498	9516	9554
499	9533	9533
500	9549	9511
501	9565	9489
502	9584	9470
503	9601	9449
504	9619	9428
505	9639	9411
506	9656	9390
507	9673	9368
508	9690	9347
509	9709	9328
510	9726	9307
511	9743	9286
512	9761	9266
513	9779	9247
514	9797	9226
515	9813	9205
516	9830	9183
517	9851	9167
518	9869	9147
519	9887	9127
520	9905	9107
521	9921	9085
522	9939	9064
523	9959	9047
524	9976	9025
525	9993	9005
526	10010	8984
527	10029	8965
528	10047	8945
529	10065	8926
530	10083	8906
531	10100	8885
532	10118	8865
533	10135	8845
534	10152	8824
535	10169	8803
536	10186	8782
537	10207	8765
538	10222	8743
539	10239	8722
540	10255	8701
541	10274	8681
542	10292	8662
543	10311	8643
544	10331	8625
545	10350	8606
546	10368	8586
547	10386	8566
548	10404	8547
549	10422	8527
550	10440	8507
551	10457	8487
552	10475	8467
553	10492	8446
554	10509	8426
555	10526	8406
556	10542	8384
557	10560	8364
558	10580	8347
559	10598	8327
560	10613	8305
561	10632	8286
562	10649	8265
563	10666	8245
564	10684	8226
565	10701	8205
566	10719	8186
567	10736	8165
568	10753	8145
569	10772	8126
570	10790	8106
571	10807	8086
572	10826	8067
573	10843	8047
574	10862	8028
575	10882	8010
576	10902	7992
577	10921	7974
578	10940	7955
579	10958	7935
580	10979	7918
581	10999	7900
582	11018	7881
583	11036	7861
584	11053	7841
585	11071	7821
586	11089	7802
587	11107	7782
588	11125	7763
589	11142	7743
590	11160	7723
591	11180	7705
592	11199	7686
593	11221	7669
594	11240	7651
595	11260	7632
596	11280	7614
597	11299	7596
598	11318	7577
599	11339	7559
600	11358	7540
601	11375	7520
602	11391	7500
603	11410	7480
604	11429	7462
605	11447	7442
606	11467	7424
607	11487	7406
608	11507	7388
609	11596	7414
610	11623	7400
611	11641	7380
612	11660	7361
613	11678	7342
614	11697	7322
615	11715	7303
616	11733	7283
617	11750	7263
618	11766	7242
619	11785	7223
620	11805	7205
621	11824	7185
622	11843	7166
623	11860	7146
624	11876	7125
625	11891	7104
626	11907	7083
627	11923	7062
628	11938	7041
629	11955	7021
630	11970	7000
631	11987	6979
632	12005	6960
633	12025	6942
634	12041	6921
635	12058	6901
636	12080	6883
637	12097	6864
638	12115	6844
639	12135	6826
640	12154	6807
641	12171	6787
642	12191	6768
643	12208	6749
644	12226	6729
645	12245	6710
646	12264	6691
647	12285	6673
648	12304	6654
649	12322	6635
650	12345	6618
651	12370	6602
652	12397	6588
653	12416	6569
654	12435	6550
655	12452	6529
656	12469	6510
657	12488	6490
658	12507	6472
659	12524	6451
660	12542	6432
661	12560	6413
662	12579	6394
663	12599	6375
664	12620	6357
665	12638	6338
666	12656	6318
667	12675	6299
668	12692	6279
669	12709	6259
670	12725	6239
671	12742	6219
672	12761	6200
673	12779	6181
674	12797	6161
675	12815	6142
676	12833	6122
677	12851	6103
678	12870	6084
679	12889	6065
680	12907	6046
681	12926	6027
682	12945	6008
683	12961	5988
684	12980	5969
685	12997	5949
686	13017	5930
687	13036	5911
688	13053	5891
689	13072	5873
690	13091	5854
691	13109	5835
692	13129	5816
693	13147	5797
694	13164	5777
695	13185	5758
696	13203	5739
697	13220	5720
698	13238	5700
699	13257	5681
700	13276	5662
701	13292	5642
702	13309	5622
703	13326	5603
704	13344	5583
705	13363	5564
706	13382	5546
707	13400	5526
708	13418	5507
709	13435	5487
710	13454	5468
711	13471	5449
712	13487	5429
713	13505	5409
714	13523	5390
715	13543	5371
716	13561	5352
717	13579	5333
718	13597	5314
719	13615	5295
720	13635	5276
721	13655	5257
722	13673	5238
723	13692	5219
724	13712	5201
725	13731	5182
726	13749	5163
727	13767	5143
728	13785	5124
729	13805	5106
730	13826	5087
731	13844	5068
732	13861	5049
733	13879	5029
734	13898	5010
735	13916	4991
736	13933	4972
737	13952	4953
738	13972	4934
739	13990	4915
740	14011	4897
741	14030	4878
742	14048	4859
743	14066	4840
744	14084	4820
745	14102	4801
746	14121	4782
747	14138	4763
748	14155	4743
749	14174	4724
750	14192	4705
751	14210	4686
752	14229	4667
753	14246	4648
754	14268	4630
755	14285	4610
756	14307	4592
757	14324	4573
758	14342	4554
759	14361	4535
760	14380	4516
761	14399	4497
762	14416	4477
763	14434	4458
764	14451	4439
765	14471	4420
766	14489	4401
767	14507	4382
768	14525	4363
769	14542	4343
770	14561	4325
771	14581	4306
772	14599	4287
773	14620	4268
774	14639	4250
775	14660	4231
776	14678	4212
777	14699	4194
778	14716	4175
779	14735	4156
780	14752	4136
781	14769	4117
782	14786	4098
783	14805	4079
784	14825	4060
785	14845	4041
786	14865	4023
787	14884	4004
788	14905	3986
789	14923	3966
790	14940	3947
791	14958	3928
792	14977	3909
793	14996	3890
794	15015	3872
795	15035	3853
796	15052	3834
797	15068	3814
798	15088	3795
799	15106	3776
800	15125	3757
801	15146	3739
802	15164	3720
803	15182	3701
804	15202	3682
805	15223	3664
806	15243	3645
807	15263	3626
808	15283	3608
809	15300	3589
810	15319	3570
811	15337	3551
812	15357	3532
813	15377	3513
814	15395	3494
815	15412	3475
816	15429	3456
817	15449	3437
818	15468	3418
819	15487	3399
820	15506	3380
821	15526	3362
822	15544	3343
823	15561	3323
824	15578	3304
825	15597	3285
826	15615	3266
827	15633	3247
828	15651	3228
829	15670	3209
830	15687	3190
831	15706	3171
832	15725	3152
833	15742	3133
834	15760	3114
835	15781	3095
836	15801	3077
837	15819	3058
838	15837	3039
839	15855	3020
