iter	Logloss
0	0.5790195081
1	0.4896260226
2	0.4238089687
3	0.3716738071
4	0.3344663081
5	0.3055501307
6	0.2833641111
7	0.2658887952
8	0.2519374347
9	0.2408880479
10	0.2320604483
11	0.2248122967
12	0.2184397581
13	0.2134338883
14	0.2096976521
15	0.2063845383
16	0.2038081763
17	0.200847248
18	0.1981480292
19	0.1963827088
20	0.1944416853
21	0.1925048863
22	0.1913283562
23	0.1900711539
24	0.1890099325
25	0.1879078372
26	0.1871015478
27	0.1863896113
28	0.185481175
29	0.1846777309
30	0.1841950662
31	0.1835057319
32	0.1828853854
33	0.1823028036
34	0.1817879425
35	0.1810850584
36	0.1804540374
37	0.1797626678
38	0.1791370144
39	0.1786190583
40	0.178243007
41	0.177593414
42	0.1771984174
43	0.1764777687
44	0.176141296
45	0.1757969785
46	0.1755584952
47	0.1752558743
48	0.1749257329
49	0.1746536048
50	0.1744113766
51	0.1741962154
52	0.1739057518
53	0.1734401136
54	0.1729868184
55	0.17252024
56	0.1723182607
57	0.1721300546
58	0.171694857
59	0.1715117168
60	0.1713557247
61	0.1710068084
62	0.1706163523
63	0.1703211849
64	0.1701765945
65	0.1698379316
66	0.1695962907
67	0.1693689654
68	0.1692005255
69	0.1690565159
70	0.1689076982
71	0.1686752536
72	0.1683376591
73	0.1682233677
74	0.168044745
75	0.1678836147
76	0.1676829376
77	0.1675770383
78	0.1674805767
79	0.1673083145
80	0.1669983687
81	0.1667467035
82	0.1666105076
83	0.1665007585
84	0.1662952321
85	0.1662032092
86	0.1660136505
87	0.1659256273
88	0.165718154
89	0.1654758721
90	0.1653872147
91	0.1652559122
92	0.165159792
93	0.1649702618
94	0.164765842
95	0.164641528
96	0.1645051415
97	0.1644258916
98	0.1643664245
99	0.1640971744
100	0.1640332214
101	0.16380547
102	0.1636395646
103	0.1634779271
104	0.1633736861
105	0.163292491
106	0.163140115
107	0.1630331023
108	0.1628945296
109	0.1628305771
110	0.1627135902
111	0.1626451305
112	0.1625497321
113	0.1624688357
114	0.1622597819
115	0.1621797346
116	0.1621099027
117	0.1619794195
118	0.1619121204
119	0.1618493651
120	0.1617856584
121	0.1617077612
122	0.1616517801
123	0.1616190488
124	0.1615222762
125	0.1614325369
126	0.1613009995
127	0.1612482674
128	0.1611922933
129	0.1611285311
130	0.1610647174
131	0.160930761
132	0.1608023625
133	0.1607315844
134	0.1605940175
135	0.1605574806
136	0.1605060292
137	0.1604390389
138	0.1603311596
139	0.1602403225
140	0.1601315022
141	0.1600807678
142	0.1599764567
143	0.1599256377
144	0.1597585411
145	0.1596909015
146	0.1596204782
147	0.1594975362
148	0.159436535
149	0.1593854784
150	0.1593466264
151	0.1592742416
152	0.1592096259
153	0.1591363018
154	0.1591145293
155	0.1590810073
156	0.1590384798
157	0.158975448
158	0.1589210452
159	0.1588640277
160	0.1588092194
161	0.1587688325
162	0.1586667828
163	0.1585734605
164	0.1585401885
165	0.1584638349
166	0.1584187663
167	0.1583542037
168	0.1583060348
169	0.1581982002
170	0.1581031642
171	0.1580118459
172	0.1579830827
173	0.157950619
174	0.1579201936
175	0.1578660468
176	0.1578072451
177	0.1577447024
178	0.157702112
179	0.1576748003
180	0.1576482037
181	0.1575672344
182	0.1575174857
183	0.1574885894
184	0.1574522206
185	0.1574114226
186	0.1573741474
187	0.1573127271
188	0.1572504587
189	0.1572111972
190	0.1571817204
191	0.1571614493
192	0.1571136258
193	0.1570641192
194	0.1570302225
195	0.156997022
196	0.1569175193
197	0.1568765803
198	0.1568590854
199	0.1567961136
200	0.1567275698
201	0.1566610602
202	0.1566119297
203	0.1565478352
204	0.1564822939
205	0.1564438231
206	0.1564011172
207	0.1563517109
208	0.1563148493
209	0.1562505037
210	0.1562004055
211	0.1561132237
212	0.1560610953
213	0.1560002181
214	0.1559505084
215	0.1559198978
216	0.1558789967
217	0.1558455202
218	0.1557991004
219	0.1557630846
220	0.1557348813
221	0.1556975502
222	0.1556699813
223	0.1556268326
224	0.1555408916
225	0.1554833704
226	0.1554362383
227	0.1554052744
228	0.1553773446
229	0.1553180609
230	0.1552826904
231	0.1552353243
232	0.155171259
233	0.1551345513
234	0.1550904434
235	0.1550149197
236	0.1549745024
237	0.1549469348
238	0.1549049625
239	0.1548596193
240	0.1548091404
241	0.1547905109
242	0.1547587903
243	0.1547283707
244	0.1547110413
245	0.154675624
246	0.1546446746
247	0.1546148936
248	0.154565026
249	0.1545184665
250	0.1544976983
251	0.1544743795
252	0.1544522607
253	0.1543849607
254	0.1543587869
255	0.1543101647
256	0.1542666392
257	0.15423496
258	0.1541931137
259	0.1541168857
260	0.1540623465
261	0.154041151
262	0.1540158928
263	0.1539862902
264	0.1539517052
